,Season,Stage,Round,Href
199,2007/2008,2. del,8,http://www.kzs.si/incl?id=114&game_id=334243&league_id=undefined&season_id=11173
200,2007/2008,2. del,8,http://www.kzs.si/incl?id=114&game_id=334253&league_id=undefined&season_id=11173
201,2007/2008,2. del,8,http://www.kzs.si/incl?id=114&game_id=334263&league_id=undefined&season_id=11173
202,2007/2008,2. del,9,http://www.kzs.si/incl?id=114&game_id=333833&league_id=undefined&season_id=11173
203,2007/2008,2. del,9,http://www.kzs.si/incl?id=114&game_id=333843&league_id=undefined&season_id=11173
204,2007/2008,2. del,9,http://www.kzs.si/incl?id=114&game_id=334123&league_id=undefined&season_id=11173
205,2007/2008,2. del,9,http://www.kzs.si/incl?id=114&game_id=334333&league_id=undefined&season_id=11173
206,2007/2008,2. del,9,http://www.kzs.si/incl?id=114&game_id=334343&league_id=undefined&season_id=11173
207,2007/2008,2. del,9,http://www.kzs.si/incl?id=114&game_id=334353&league_id=undefined&season_id=11173
208,2007/2008,2. del-Liga za obstanek,1,http://www.kzs.si/incl?id=114&game_id=332783&league_id=undefined&season_id=11173
209,2007/2008,2. del-Liga za obstanek,1,http://www.kzs.si/incl?id=114&game_id=332793&league_id=undefined&season_id=11173
210,2007/2008,2. del-Liga za obstanek,10,http://www.kzs.si/incl?id=114&game_id=334043&league_id=undefined&season_id=11173
211,2007/2008,2. del-Liga za obstanek,10,http://www.kzs.si/incl?id=114&game_id=334053&league_id=undefined&season_id=11173
212,2007/2008,2. del-Liga za obstanek,2,http://www.kzs.si/incl?id=114&game_id=332823&league_id=undefined&season_id=11173
213,2007/2008,2. del-Liga za obstanek,2,http://www.kzs.si/incl?id=114&game_id=332833&league_id=undefined&season_id=11173
214,2007/2008,2. del-Liga za obstanek,3,http://www.kzs.si/incl?id=114&game_id=332963&league_id=undefined&season_id=11173
215,2007/2008,2. del-Liga za obstanek,3,http://www.kzs.si/incl?id=114&game_id=332973&league_id=undefined&season_id=11173
216,2007/2008,2. del-Liga za obstanek,4,http://www.kzs.si/incl?id=114&game_id=333103&league_id=undefined&season_id=11173
217,2007/2008,2. del-Liga za obstanek,4,http://www.kzs.si/incl?id=114&game_id=333113&league_id=undefined&season_id=11173
218,2007/2008,2. del-Liga za obstanek,5,http://www.kzs.si/incl?id=114&game_id=333213&league_id=undefined&season_id=11173
219,2007/2008,2. del-Liga za obstanek,5,http://www.kzs.si/incl?id=114&game_id=333223&league_id=undefined&season_id=11173
220,2007/2008,2. del-Liga za obstanek,6,http://www.kzs.si/incl?id=114&game_id=333413&league_id=undefined&season_id=11173
221,2007/2008,2. del-Liga za obstanek,6,http://www.kzs.si/incl?id=114&game_id=333423&league_id=undefined&season_id=11173
222,2007/2008,2. del-Liga za obstanek,7,http://www.kzs.si/incl?id=114&game_id=333533&league_id=undefined&season_id=11173
223,2007/2008,2. del-Liga za obstanek,7,http://www.kzs.si/incl?id=114&game_id=333543&league_id=undefined&season_id=11173
224,2007/2008,2. del-Liga za obstanek,8,http://www.kzs.si/incl?id=114&game_id=333713&league_id=undefined&season_id=11173
225,2007/2008,2. del-Liga za obstanek,8,http://www.kzs.si/incl?id=114&game_id=333723&league_id=undefined&season_id=11173
226,2007/2008,2. del-Liga za obstanek,9,http://www.kzs.si/incl?id=114&game_id=333833&league_id=undefined&season_id=11173
227,2007/2008,2. del-Liga za obstanek,9,http://www.kzs.si/incl?id=114&game_id=333843&league_id=undefined&season_id=11173
228,2007/2008,2. del-Liga za prvaka,1,http://www.kzs.si/incl?id=114&game_id=332933&league_id=undefined&season_id=11173
229,2007/2008,2. del-Liga za prvaka,1,http://www.kzs.si/incl?id=114&game_id=332943&league_id=undefined&season_id=11173
230,2007/2008,2. del-Liga za prvaka,1,http://www.kzs.si/incl?id=114&game_id=332953&league_id=undefined&season_id=11173
231,2007/2008,2. del-Liga za prvaka,1,http://www.kzs.si/incl?id=114&game_id=333173&league_id=undefined&season_id=11173
232,2007/2008,2. del-Liga za prvaka,10,http://www.kzs.si/incl?id=114&game_id=334413&league_id=undefined&season_id=11173
233,2007/2008,2. del-Liga za prvaka,10,http://www.kzs.si/incl?id=114&game_id=334423&league_id=undefined&season_id=11173
234,2007/2008,2. del-Liga za prvaka,10,http://www.kzs.si/incl?id=114&game_id=334433&league_id=undefined&season_id=11173
